date,day,beta,sigma,gamma
2020-03-01,0,0.0,0.2,0.0
2020-03-02,1,0.0,0.2,0.0
2020-03-03,2,0.0,0.2,0.0
2020-03-04,3,0.0,0.2,0.0
2020-03-05,4,0.0,0.2,0.0
2020-03-06,5,0.0,0.2,0.0
2020-03-07,6,0.0,0.2,0.0
2020-03-08,7,0.0,0.2,0.0
2020-03-09,8,0.0,0.2,0.0
2020-03-10,9,0.0,0.2,0.0
2020-03-11,10,0.0,0.2,0.0
2020-03-12,11,0.0,0.2,0.0
2020-03-13,12,0.0,0.2,0.0
2020-03-14,13,0.0,0.2,0.0
2020-03-15,14,0.0,0.2,0.0
2020-03-16,15,0.0,0.2,0.0
2020-03-17,16,0.0,0.2,0.0
2020-03-18,17,0.0,0.2,0.0
2020-03-19,18,0.0,0.2,0.0
2020-03-20,19,0.0,0.2,0.0
2020-03-21,20,0.0,0.2,0.0
2020-03-22,21,0.0,0.2,0.0
2020-03-23,22,0.20000001372834073,0.2,0.0
2020-03-24,23,1.2000000823700443,0.2,0.0
2020-03-25,24,0.2000000205925118,0.2,0.0
2020-03-26,25,0.7000000720737911,0.2,0.0
2020-03-27,26,0.20000002745668333,0.2,0.0
2020-03-28,27,0.1500000257406415,0.2,0.0
2020-03-29,28,0.0,0.2,0.0
2020-03-30,29,0.10000001716042767,0.2,0.0
2020-03-31,30,0.0,0.2,0.0
2020-04-01,31,0.050000008580213834,0.2,0.0
2020-04-02,32,0.040000008237005565,0.2,0.0
2020-04-03,33,0.640000131792089,0.2,0.0
2020-04-04,34,0.10000003088877403,0.2,0.0
2020-04-05,35,0.10000003088877403,0.2,0.0
2020-04-06,36,0.0,0.2,0.0
2020-04-07,37,0.07500002316658051,0.2,0.0
2020-04-08,38,0.0,0.2,0.0
2020-04-09,39,0.0,0.2,0.0
2020-04-10,40,0.0,0.2,0.0
2020-04-11,41,0.3750001158329026,0.2,0.0
2020-04-12,42,0.2363637337100857,0.2,0.0
2020-04-13,43,0.23076934165202834,0.2,0.0
2020-04-14,44,0.09333338458582996,0.2,0.0
2020-04-15,45,0.09333338458582996,0.2,0.06666666666666667
2020-04-16,46,0.8857147720900188,0.2,0.0
2020-04-17,47,0.09285723846532183,0.2,0.0
2020-04-18,48,0.04827591343194655,0.2,0.06896551724137931
2020-04-19,49,0.11111122932749601,0.2,0.0
2020-04-20,50,0.55555614663748,0.2,0.0
2020-04-21,51,0.0,0.2,0.07692307692307693
2020-04-22,52,0.1315791505842907,0.2,0.07894736842105263
2020-04-23,53,0.11578966443619314,0.2,0.02631578947368421
2020-04-24,54,0.09473700142652683,0.2,0.02631578947368421
2020-04-25,55,0.0,0.2,0.10810810810810811
2020-04-26,56,0.0,0.2,0.0
2020-04-27,57,0.011111130940970614,0.2,0.0
2020-04-28,58,0.08421068238562557,0.2,0.0
2020-04-29,59,0.03902446658701441,0.2,0.0
2020-04-30,60,0.014634174970130403,0.2,0.0
2020-05-01,61,0.032558205462974485,0.2,0.0
2020-05-02,62,0.3581402600927193,0.2,0.0
2020-05-03,63,0.02033903540482032,0.2,0.0
2020-05-04,64,0.17966147940924618,0.2,0.0
2020-05-05,65,0.30303115585380996,0.2,0.09090909090909091
2020-05-06,66,0.1298705711396932,0.2,0.0
2020-05-07,67,0.0,0.2,0.11392405063291139
2020-05-08,68,0.1887330550690311,0.2,0.0
2020-05-09,69,0.0,0.2,0.0
2020-05-10,70,0.15949427302375804,0.2,0.02531645569620253
2020-05-11,71,0.8712911357754224,0.2,0.0
2020-05-12,72,0.30000223430393763,0.2,0.010869565217391304
2020-05-13,73,0.10046597829849808,0.2,0.0
2020-05-14,74,0.21495510801106912,0.2,0.004672897196261682
2020-05-15,75,0.13679779036590609,0.2,0.004329004329004329
2020-05-16,76,0.0,0.2,0.003937007874015748
2020-05-17,77,0.24436045071787543,0.2,0.0
2020-05-18,78,0.15489813602158523,0.2,0.002967359050445104
2020-05-19,79,0.1035826963461727,0.2,0.02203856749311295
2020-05-20,80,0.10000146552174753,0.2,0.013157894736842105
2020-05-21,81,0.21778119359482515,0.2,0.05185185185185185
2020-05-22,82,0.07268751751213619,0.2,0.0
2020-05-23,83,0.0661461398819763,0.2,0.033268101761252444
2020-05-24,84,0.18362953129401227,0.2,0.050682261208576995
2020-05-25,85,0.19611766469568717,0.2,0.07597173144876325
2020-05-26,86,0.19250102214508924,0.2,0.04567699836867863
2020-05-27,87,0.23176670427748094,0.2,0.00715307582260372
2020-05-28,88,0.28542197205923714,0.2,0.023529411764705882
2020-05-29,89,0.23180964255545006,0.2,0.013
2020-05-30,90,0.1911656545007015,0.2,0.002551020408163265
2020-05-31,91,0.21206501283973025,0.2,0.000744047619047619
2020-06-01,92,0.20039172211011932,0.2,0.028445006321112517
2020-06-02,93,0.13283148691719773,0.2,0.007123287671232876
2020-06-03,94,0.18014338060686166,0.2,0.006458022851465474
2020-06-04,95,0.15151326851975708,0.2,0.018851756640959727
2020-06-05,96,0.13708535171754252,0.2,0.0132398753894081
2020-06-06,97,0.07344182577878892,0.2,0.035701785089254465
2020-06-07,98,0.12899100581479173,0.2,0.007412398921832884
2020-06-08,99,0.08663695300443058,0.2,0.029754601226993867
2020-06-09,100,0.08329243761200883,0.2,0.025810151993117293
2020-06-10,101,0.05916532414167929,0.2,0.0508843537414966
2020-06-11,102,0.13667225822898876,0.2,0.00454788657035848
2020-06-12,103,0.0676058925939062,0.2,0.009114895658431278
2020-06-13,104,0.09438603792364644,0.2,0.01407811080835604
2020-06-14,105,0.10654508199339228,0.2,0.014054961191525068
2020-06-15,106,0.09697271950988502,0.2,0.022714036109493303
2020-06-16,107,0.09854464112133865,0.2,0.001847063169560399
2020-06-17,108,0.1370955390901589,0.2,0.0035058430717863106
2020-06-18,109,0.07586380741249482,0.2,0.03253012048192771
2020-06-19,110,0.05589908538169099,0.2,0.025693430656934305
2020-06-20,111,0.07422606115020274,0.2,0.027837259100642397
2020-06-21,112,0.06031463226765214,0.2,0.051998340478495365
2020-06-22,113,0.04653759839347346,0.2,0.010419485791610283
2020-06-23,114,0.08322843990675151,0.2,0.014520443255636225
2020-06-24,115,0.07100391037169124,0.2,0.03753287114511116
2020-06-25,116,0.0805635050170401,0.2,0.005774216356351638
2020-06-26,117,0.06257230960952608,0.2,0.015171650055370986
2020-06-27,118,0.05025940320093116,0.2,0.018947814120884938
2020-06-28,119,0.03923207749940061,0.2,0.012537252080978317
2020-06-29,120,0.03829207608578839,0.2,0.005949429846306396
2020-06-30,121,0.03573852104594036,0.2,0.14147567933468716
2020-07-01,122,0.040318581704073916,0.2,0.07104700854700854
2020-07-02,123,0.07846405535500861,0.2,0.08987783595113438
2020-07-03,124,0.027909816774703746,0.2,0.0301629238221048
2020-07-04,125,0.04709427081220015,0.2,0.014598540145985401
2020-07-05,126,0.015438114307815155,0.2,0.028794958165815496
2020-07-06,127,0.012575435790337342,0.2,0.07545514367185786
2020-07-07,128,0.0,0.2,0.029302756543896226
2020-07-08,129,0.01260553032052949,0.2,0.016095414543770264
2020-07-09,130,0.003837156704393516,0.2,0.013945380592678676
2020-07-10,131,0.007327213678307878,0.2,0.05044751830756713
2020-07-11,132,0.0035218655239876336,0.2,0.01784197111299915
2020-07-12,133,0.0019095914525997925,0.2,0.2085882065084414
2020-07-13,134,0.017006714977412137,0.2,0.005141388174807198
2020-07-14,135,0.015543081803174246,0.2,0.10425690814040328
2020-07-15,136,0.03316203322038226,0.2,0.036643219368558806
2020-07-16,137,0.02379223391870459,0.2,0.04722589167767503
2020-07-17,138,0.007124006436879758,0.2,0.017543859649122806
2020-07-18,139,0.026007038307979482,0.2,0.009957081545064377
2020-07-19,140,0.031996429700995366,0.2,0.029208171534695255
2020-07-20,141,0.019621180848333336,0.2,0.10259433962264151
2020-07-21,142,0.02356759460981935,0.2,0.03815957641044367
2020-07-22,143,0.04097179227562322,0.2,0.029247391952309985
2020-07-23,144,0.023306864419842258,0.2,0.020156774916013438
2020-07-24,145,0.012305735242359827,0.2,0.019877391788965262
2020-07-25,146,0.02003127698796082,0.2,0.013927576601671309
2020-07-26,147,0.029945600256027508,0.2,0.115625
2020-07-27,148,0.05975562951820214,0.2,0.024646464646464646
2020-07-28,149,0.04700487280914265,0.2,0.028410196536291107
2020-07-29,150,0.06631332391823962,0.2,0.0442052661925812
2020-07-30,151,0.05851076062123884,0.2,0.02954068991804841
2020-07-31,152,0.07672625429751212,0.2,0.017494356659142212
2020-08-01,153,0.036464285039205735,0.2,0.020223907547851208
2020-08-02,154,0.08147434315618099,0.2,0.06311706629055007
2020-08-03,155,0.048953215511092434,0.2,0.011514305652477321
2020-08-04,156,0.07590283075339391,0.2,0.022278481012658228
2020-08-05,157,0.05977825452815533,0.2,0.03854875283446712
2020-08-06,158,0.08754947069498362,0.2,0.06829733163913596
2020-08-07,159,0.053184307767977224,0.2,0.07930489731437598
2020-08-08,160,0.07892036155055614,0.2,0.00676764421527554
2020-08-09,161,0.05346513579007674,0.2,0.022004889975550123
2020-08-10,162,0.09832740228812398,0.2,0.025972098545562483
2020-08-11,163,0.06387697030866438,0.2,0.009998611303985558
2020-08-12,164,0.0776429330957213,0.2,0.014843031656377249
2020-08-13,165,0.08568086619066091,0.2,0.030404984423676014
2020-08-14,166,0.07717812773292271,0.2,0.015164179104477612
2020-08-15,167,0.06256160372449783,0.2,0.015603487838458009
2020-08-16,168,0.06940522534102472,0.2,0.017677041535625205
2020-08-17,169,0.10932516027635862,0.2,0.009544558564166408
2020-08-18,170,0.07078719559022184,0.2,0.011928429423459244
2020-08-19,171,0.08250684043899202,0.2,0.024284943335132217
2020-08-20,172,0.07989089054506121,0.2,0.022587624405019473
2020-08-21,173,0.06746260063948964,0.2,0.011951862842070558
2020-08-22,174,0.04578219527907331,0.2,0.022502178908168923
2020-08-23,175,0.06069746543356607,0.2,0.013911060433295324
2020-08-24,176,0.0654032829160035,0.2,0.023332118118847976
2020-08-25,177,0.05793334105067786,0.2,0.027789473684210527
2020-08-26,178,0.0858602939235611,0.2,0.03914783906642242
2020-08-27,179,0.06499118540282958,0.2,0.011850978851568127
2020-08-28,180,0.06532925859796967,0.2,0.02028840751607466
2020-08-29,181,0.07842116584426775,0.2,0.016950174930630956
2020-08-30,182,0.058280121819144236,0.2,0.03396506450508049
2020-08-31,183,0.05429865172940548,0.2,0.04371002132196162
2020-09-01,184,0.06595968210101863,0.2,0.06205830388692579
2020-09-02,185,0.07646229057215002,0.2,0.050971946101170756
2020-09-03,186,0.06773667520285459,0.2,0.07429533481779178
2020-09-04,187,0.06949259460820666,0.2,0.08557922190828081
2020-09-05,188,0.06021668478203231,0.2,0.10201454952434247
2020-09-06,189,0.059094227898417076,0.2,0.10260175016150819
2020-09-07,190,0.04875361860650814,0.2,0.1410295836152285
2020-09-08,191,0.05215773481461573,0.2,0.062146892655367235
2020-09-09,192,0.08010870035560137,0.2,0.12133111480865225
2020-09-10,193,0.10480499973204442,0.2,0.0676218161683278
2020-09-11,194,0.09090905991067441,0.2,0.05802345058626466
2020-09-12,195,0.08625161169327193,0.2,0.07745740498034076
2020-09-13,196,0.08570538165294192,0.2,0.059138717999603095
2020-09-14,197,0.09340155660594783,0.2,0.06970700967972455
2020-09-15,198,0.08569842979906853,0.2,0.06819190062741619
2020-09-16,199,0.08184096523615868,0.2,0.07677625908139392
2020-09-17,200,0.14015479464187572,0.2,0.05406071054738009
2020-09-18,201,0.08767310971040788,0.2,0.0838750503365357
2020-09-19,202,0.07954560114897583,0.2,0.05697939167493724
2020-09-20,203,0.06203146764094967,0.2,0.058416294770568714
2020-09-21,204,0.08535390313359997,0.2,0.046845721424109935
2020-09-22,205,0.03114829075188337,0.2,0.10472935729247052
2020-09-23,206,0.08836458498622375,0.2,0.02721947858045251
2020-09-24,207,0.070069570936693,0.2,0.07924282692411998
2020-09-25,208,0.07407092342458196,0.2,0.06315271474656897
2020-09-26,209,0.08340716538919672,0.2,0.04879777547571016
2020-09-27,210,0.08072281680864624,0.2,0.039223933960776065
2020-09-28,211,0.07173927209116736,0.2,0.037759885854056256
2020-09-29,212,0.08049111165004443,0.2,0.052167091586585605
2020-09-30,213,0.10293155038180875,0.2,0.046527212675314726
2020-10-01,214,0.1254187715422302,0.2,0.15199267063673844
2020-10-02,215,0.12185749510049546,0.2,0.09663746821135914
2020-10-03,216,0.12735302581244817,0.2,0.06271711576377804
2020-10-04,217,0.13515227070507338,0.2,0.051847517890094064
2020-10-05,218,0.08232136914852013,0.2,0.09992768111626324
2020-10-06,219,0.1296126622928405,0.2,0.0502443964947818
2020-10-07,220,0.18473001551736656,0.2,0.10744991402407326
2020-10-08,221,0.09834665702016368,0.2,0.06333383300854445
2020-10-09,222,0.19802278296335785,0.2,0.04594684508187632
2020-10-10,223,0.12389021647238589,0.2,0.05107404763449932
2020-10-11,224,0.12808666064543764,0.2,0.04732556282931503
2020-10-12,225,0.08005333876483277,0.2,0.04489374262101535
2020-10-13,226,0.10978171554136139,0.2,0.06086593345398859
2020-10-14,227,0.06087843233451782,0.2,0.09852338658674073
2020-10-15,228,0.15209309081730896,0.2,0.09698081186872143
2020-10-16,229,0.0751313095203907,0.2,0.04847252688459686
2020-10-17,230,0.07484488813234554,0.2,0.06035573224565661
2020-10-18,231,0.11566184551182943,0.2,0.059810375943671994
2020-10-19,232,0.07273155029672357,0.2,0.051890725391142284
2020-10-20,233,0.11617682850174735,0.2,0.07237456592024907
2020-10-21,234,0.09528897037890746,0.2,0.07275834157747998
2020-10-22,235,0.1209005574356513,0.2,0.059830202553646634
2020-10-23,236,0.055707933210767654,0.2,0.06123235741363432
2020-10-24,237,0.07863506979516466,0.2,0.07254054758234361
2020-10-25,238,0.0,0.2,0.08821206003686474
2020-10-26,239,0.0,0.2,0.0734991800060056
2020-10-27,240,0.0,0.2,0.07354784788967823
2020-10-28,241,0.05094096428114037,0.2,0.07706278535933204
2020-10-29,242,0.06604393253800678,0.2,0.10556582460464162
2020-10-30,243,0.07332270335760101,0.2,0.059467633026566206
2020-10-31,244,0.11566327820305643,0.2,0.09441737507775244
2020-11-01,245,0.0962279333501328,0.2,0.0840460744075202
2020-11-02,246,0.09596561154950041,0.2,0.08426606971538216
2020-11-03,247,0.07440466000380343,0.2,0.10337282527484257
2020-11-04,248,0.09489283714146832,0.2,0.09341388745902306
2020-11-05,249,0.0863042713156117,0.2,0.12373336254587282
2020-11-06,250,0.08314031399005209,0.2,0.06368715083798883
2020-11-07,251,0.07755822527149243,0.2,0.07994920276562721
2020-11-08,252,0.06337788201623189,0.2,0.05127191620316779
2020-11-09,253,0.06972564743874929,0.2,0.024188643777298614
2020-11-10,254,0.06399070758286023,0.2,0.0444853424477455
2020-11-11,255,0.0478549246643325,0.2,0.06075246710526316
2020-11-12,256,0.04752902776877308,0.2,0.09230129221809105
2020-11-13,257,0.04774236760872185,0.2,0.06795959159418724
2020-11-14,258,0.027520346562571858,0.2,0.07692307692307693
2020-11-15,259,0.018100424213975553,0.2,0.08378647686832741
2020-11-16,260,0.009590398181926621,0.2,0.08673117828574853
2020-11-17,261,0.02527867696445607,0.2,0.11456786936035629
2020-11-18,262,0.05127154291990288,0.2,0.09955675600803379
2020-11-19,263,0.0649566947092454,0.2,0.19163168006831283
2020-11-20,264,0.07821469214075095,0.2,0.09446584228664098
2020-11-21,265,0.11331647129553932,0.2,0.23803573659877547
2020-11-22,266,0.11632310796847495,0.2,0.15323348194159195
2020-11-23,267,0.08330873421078376,0.2,0.14906799406905316
2020-11-24,268,0.10239450263401462,0.2,0.1773895514866454
2020-11-25,269,0.106130103425326,0.2,0.0877456577919346
2020-11-26,270,0.1100841466814138,0.2,0.0013696182933365093
2020-11-27,271,0.06585697880285815,0.2,0.09581551453472635
2020-11-28,272,0.06421473483213971,0.2,0.07902449814743129
2020-11-29,273,0.062252291613284605,0.2,0.10944217990954269
2020-11-30,274,0.0,0.2,0.1201859610859209
2020-12-01,275,0.14818975015426927,0.2,0.10281166416595995
2020-12-02,276,0.08186276556273041,0.2,0.1283616365504321
2020-12-03,277,0.08890201979477459,0.2,0.10091335785868324
2020-12-04,278,0.06048158045150043,0.2,0.14345827668803005
2020-12-05,279,0.16852886162869968,0.2,0.12409680813749562
2020-12-06,280,0.0,0.2,0.12133706376085997
2020-12-07,281,0.09258234775409929,0.2,0.12696941612604262
2020-12-08,282,0.0748487581171638,0.2,0.11800409900677912
2020-12-09,283,0.10767339834355304,0.2,0.08787260106165783
2020-12-10,284,0.08964648507378736,0.2,0.10350395607944453
2020-12-11,285,0.08531237431913506,0.2,0.11310503786631544
2020-12-12,286,0.04904176956805942,0.2,0.12927268054484709
2020-12-13,287,0.07102580147629288,0.2,0.07822448608331817
2020-12-14,288,0.06271816002451679,0.2,0.18347786398904609
2020-12-15,289,0.06104434078805642,0.2,0.0013156563100900718
2020-12-16,290,0.06862187934856698,0.2,0.16974726518294983
2020-12-17,291,0.08126567019776439,0.2,0.10908141962421712
2020-12-18,292,0.07570157896920925,0.2,0.12740152409573896
2020-12-19,293,0.05021005542763437,0.2,0.1253393665158371
2020-12-20,294,0.0878322980765489,0.2,0.13052884615384616
2020-12-21,295,0.08418572486550083,0.2,0.12148946840521564
2020-12-22,296,0.08742647742730089,0.2,0.12381938155000646
2020-12-23,297,0.08108495326066108,0.2,0.09900199600798404
2020-12-24,298,0.09586044206142302,0.2,0.1218851570964247
2020-12-25,299,0.06310641203084089,0.2,0.1188663282571912
2020-12-26,300,0.05922884181069,0.2,0.10920136316491331
2020-12-27,301,0.07847140092819409,0.2,0.11165870937933159
2020-12-28,302,0.10474253463201257,0.2,0.11498366267309787
2020-12-29,303,0.07796151589876868,0.2,0.09490306441525953
2020-12-30,304,0.09702471902771086,0.2,0.07238095238095238
2020-12-31,305,0.08283556301440205,0.2,0.11853245531514581
2021-01-01,306,0.05465629931935944,0.2,0.125
2021-01-02,307,0.04109717450924257,0.2,0.11293994046576782
2021-01-03,308,0.06513798847094253,0.2,0.1095316201931839
2021-01-04,309,0.08177214825884996,0.2,0.11079599168084704
2021-01-05,310,0.08134609821852135,0.2,0.09588516746411484
2021-01-06,311,0.08410277520985954,0.2,0.09487629066822521
2021-01-07,312,0.11300337839979215,0.2,0.11684460260972716
2021-01-08,313,0.08421300069407685,0.2,0.13981278629755028
2021-01-09,314,0.04070278584115791,0.2,0.11066011535996582
2021-01-10,315,0.10913285465358218,0.2,0.12143826322930801
2021-01-11,316,0.09992644600196482,0.2,0.09032700663160302
2021-01-12,317,0.0708823090976656,0.2,0.09505444646098003
2021-01-13,318,0.09964723516447692,0.2,0.09269282814614344
2021-01-14,319,0.09485782621323058,0.2,0.08924536827835518
2021-01-15,320,0.03735673653335219,0.2,0.11229946524064172
2021-01-16,321,0.048149549626504626,0.2,0.09980285855101036
2021-01-17,322,0.051969533557319175,0.2,0.09696351109977035
2021-01-18,323,0.06409563119602939,0.2,0.11525511525511525
2021-01-19,324,0.09041717855581803,0.2,0.10334750265674814
2021-01-20,325,0.10789855285969437,0.2,0.062279989168697536
2021-01-21,326,0.0940495683917182,0.2,0.1281916293761516
2021-01-22,327,0.0656865648988248,0.2,0.10902047592695074
2021-01-23,328,0.0670154129757729,0.2,0.11877172653534183
2021-01-24,329,0.09526504557023609,0.2,0.12409420289855072
2021-01-25,330,0.08186916948754255,0.2,0.08981481481481482
2021-01-26,331,0.08386473913028654,0.2,0.07656826568265683
2021-01-27,332,0.0818305578328114,0.2,0.09007912355447352
2021-01-28,333,0.05313157457096981,0.2,0.10552606931002186
2021-01-29,334,0.009686300874397032,0.2,0.11647915287888816
2021-01-30,335,0.005448271849653044,0.2,0.1043540842029507
2021-01-31,336,0.019222709990188453,0.2,0.1017733230531997
2021-02-01,337,0.043230706888611393,0.2,0.10445962233828847
2021-02-02,338,0.0526569486128646,0.2,0.08625
2021-02-03,339,0.08611269620742937,0.2,0.0980728051391863
2021-02-04,340,0.06631868005212424,0.2,0.12033377250768555
2021-02-05,341,0.042904840698523884,0.2,0.11764705882352941
2021-02-06,342,0.04410722234329482,0.2,0.13425216947422156
2021-02-07,343,0.06406901104600338,0.2,0.11074380165289256
2021-02-08,344,0.06586730707660254,0.2,0.09575688073394495
2021-02-09,345,0.08810000170306442,0.2,0.06793321819228555
2021-02-10,346,0.0635719755101498,0.2,0.06617227609811752
2021-02-11,347,0.07802875623318935,0.2,0.08032596041909197
2021-02-12,348,0.031578348666446036,0.2,0.07791446983011131
2021-02-13,349,0.034535263599435,0.2,0.08031882280809319
2021-02-14,350,0.05575880532046374,0.2,0.09039900249376559
2021-02-15,351,0.07802347226495737,0.2,0.06261859582542695
2021-02-16,352,0.06424390994541851,0.2,0.0573408947700063
2021-02-17,353,0.08817990709398658,0.2,0.0703269586674892
2021-02-18,354,0.06511452237237872,0.2,0.07298814722395508
2021-02-19,355,0.04782694612264362,0.2,0.08591282375236892
2021-02-20,356,0.05076946033333082,0.2,0.07882736156351791
2021-02-21,357,0.06567657517682668,0.2,0.060240963855421686
2021-02-22,358,0.07341655686677931,0.2,0.06932635709614127
2021-02-23,359,0.06387456353577861,0.2,0.4500978473581213
2021-02-24,360,0.13294602273625702,0.2,0.09071504802561366
2021-02-25,361,0.14262693170437515,0.2,0.14522821576763487
2021-02-26,362,0.07182928301978192,0.2,0.053418803418803416
2021-02-27,363,0.07286740750325821,0.2,0.08583247156153051
2021-02-28,364,0.07807345648637852,0.2,0.06964656964656965
2021-03-01,365,0.059652316490745975,0.2,0.0743801652892562
2021-03-02,366,0.061565201277277305,0.2,0.0646817248459959
2021-03-03,367,0.10661521676683823,0.2,0.0781563126252505
2021-03-04,368,0.12444400991403345,0.2,0.30671859785783834
2021-03-05,369,0.08129503394911523,0.2,0.07451923076923077
2021-03-06,370,0.09366134642307228,0.2,0.07099143206854346
2021-03-07,371,0.10694776787446054,0.2,0.05090909090909091
2021-03-08,372,0.043761368505230644,0.2,0.06995412844036697
2021-03-09,373,0.06985439028418597,0.2,0.07241379310344828
2021-03-10,374,0.1363027967507021,0.2,0.07244785949506037
2021-03-11,375,0.06965975554168326,0.2,0.06475583864118896
2021-03-12,376,0.05476902843681214,0.2,0.07965554359526372
2021-03-13,377,0.07458417997662634,0.2,0.08415300546448087
2021-03-14,378,0.05370596846138186,0.2,0.08417508417508418
2021-03-15,379,0.09520122022214877,0.2,0.10502793296089385
2021-03-16,380,0.12886843895207878,0.2,0.060109289617486336
2021-03-17,381,0.13439452594948703,0.2,0.0639412997903564
2021-03-18,382,0.16294137392774233,0.2,0.124
2021-03-19,383,0.10468705932779357,0.2,0.08191808191808192
2021-03-20,384,0.06757356543261446,0.2,0.1062124248496994
2021-03-21,385,0.15877907296162416,0.2,0.10526315789473684
2021-03-22,386,0.18722121730336688,0.2,0.07571288102261553
2021-03-23,387,0.12870248862527697,0.2,0.08067375886524823
2021-03-24,388,0.14417644272142108,0.2,0.07191201353637902
2021-03-25,389,0.17835653544891614,0.2,0.06080525883319639
2021-03-26,390,0.06746120084402349,0.2,0.07390300230946882
2021-03-27,391,0.031196938848711723,0.2,0.07375776397515528
2021-03-28,392,0.09056406902755114,0.2,0.06396255850234009
2021-03-29,393,0.12437397047809395,0.2,0.08799403430275914
2021-03-30,394,0.0970381268574103,0.2,0.04244604316546763
2021-03-31,395,0.08709821205944054,0.2,0.0
